1, George, , Washington, 1789-1797, Independent,http://millercenter.org/images/entry/large/1fea4db560402b8d0bd8f311a9fa6f14.jpg
2, John, , Adams, 1797-1801, Federalist,http://millercenter.org/images/entry/large/f4025cc2449623e3127de913e6458dfd.jpg
3, Thomas, , Jefferson, 1801-1809, Democratic-Republican,http://millercenter.org/images/entry/large/18d1dce483b513ae0448308f1c6174f6.jpg
4, James, , Madison, 1809-1817, Democratic-Republican,http://millercenter.org/images/entry/large/041a22a031b1f75302a4376602b60d14.jpg
5, James, , Monroe, 1817-1825, Democratic-Republican,http://millercenter.org/images/entry/large/e386770f8de3379bffc2aa1b70d50539.jpg
6, John, Quincy, Adams, 1825-1829, Democratic-Republican,http://millercenter.org/images/entry/large/70b6cb3ac36bddb305f3ab7a6df615c1.jpg
7, Andrew, , Jackson, 1829-1837, Democrat,http://millercenter.org/images/entry/large/29c8f0d7fd892b17a63f931e952fb50f.jpg
8, Martin, , Van Buren, 1837-1841, Democrat,http://millercenter.org/images/entry/large/bd34782b8dd8cab105d752dad9eee16e.jpg
9, William, Henry, Harrison, 1841-1841, Whig,http://millercenter.org/images/entry/large/4d3cf248b043371d09c690b470923d63.jpg
10, John, , Tyler, 1841-1845, Whig,http://millercenter.org/images/entry/large/99396aa9615c4540286a09cc14cae200.jpg
11, James, Knox, Polk, 1845-1849, Democrat,http://millercenter.org/images/entry/large/7db2d3cd32960ebad0a500d7921577b6.jpg
12, Zachary, , Taylor, 1849-1850, Whig,http://millercenter.org/images/entry/large/fa4867f5fa591b1d575c852f06b06a67.jpg
13, Millard, , Fillmore, 1850-1853, Whig,http://millercenter.org/images/entry/large/061f67b0084f340b7b3e0729d5a2be42.jpg
14, Franklin, , Pierce, 1853-1857, Democrat,http://millercenter.org/images/entry/large/1606ce7d05e28487de7d40c61091ea72.jpg
15, James, , Buchanan, 1857-1861, Democrat,http://millercenter.org/images/entry/large/39a66e27c90219ef4632d41b7a63d545.jpg
16, Abraham, , Lincoln, 1861-1865, Republican,http://millercenter.org/images/entry/large/e40b7ede2c0a325c74db30326db8b314.jpg
17, Andrew, , Johnson, 1865-1869, Democrat,http://millercenter.org/images/entry/large/bf63ea9aaa623951ae88229467991cf2.jpg
18, Ulysses, Simpson, Grant, 1869-1877, Republican,http://millercenter.org/images/entry/large/49a34b6241b214c7253966e4e9eea3ce.jpg
19, Rutherford, Birchard, Hayes, 1877-1881, Republican,http://millercenter.org/images/entry/large/57f82b450ce32ac9b74254a42089396f.jpg
20, James, Abram, Garfield, 1881-1881, Republican,http://millercenter.org/images/entry/large/be8661de4d5b26125b6a92cc18aab66d.jpg
21, Chester, Alan, Arthur, 1881-1885, Republican,http://millercenter.org/images/entry/large/2258161929620ba4bfb71bb90e8df50f.jpg
22, Grover, , Cleveland, 1885-1889, Democrat,http://millercenter.org/images/entry/large/caffe8ddf5e96c7f1dd7cc76f081fc35.jpg
23, Benjamin, , Harrison, 1889-1893, Republican,http://millercenter.org/images/entry/large/fd89834c6b2b30c2e3e3ef2205e6adc1.jpg
24, Grover, , Cleveland, 1893-1897, Democrat,http://millercenter.org/images/entry/large/caffe8ddf5e96c7f1dd7cc76f081fc35.jpg
25, William, , McKinley, 1897-1901, Republican,http://millercenter.org/images/entry/large/7689e861f083e563e95b1d74ef3d4cb3.jpg
26, Theodore, , Roosevelt, 1901-1909, Republican,http://millercenter.org/images/entry/large/09003c13e81fc95ad0169c46244ed24a.jpg
27, William, Howard, Taft, 1909-1913, Republican,http://millercenter.org/images/entry/large/89752dfb8b3e01e60c3c8396a98f6440.jpg
28, Woodrow, , Wilson, 1913-1921, Democrat,http://millercenter.org/images/entry/large/b112f549e2f967db99103dbabdae290c.jpg
29, Warren, Gamaliel, Harding, 1921-1923, Republican,http://millercenter.org/images/entry/large/89f5ced58897268da224c12ddcda6e3e.jpg
30, Calvin, , Coolidge, 1923-1929, Republican,http://millercenter.org/images/entry/large/4549d88bb2e7dcd27bed80ff77d49086.jpg
