Term Number,Link,Portrait,Name,State,Term Years,Vice Presidents,Trivia
1,http://www.ipl.org/div/potus/gwashington.html,http://millercenter.org/images/entry/large/1fea4db560402b8d0bd8f311a9fa6f14.jpg,George Washington,Virginia,1789-1797,John Adams,"Teeth were made from elephant and walrus tusks, not wood."
2,http://www.ipl.org/div/potus/jadams.html,http://millercenter.org/images/entry/large/f4025cc2449623e3127de913e6458dfd.jpg,John Adams,Mass.,1797-1801,Thomas Jefferson,First to live in the White House
3,http://www.ipl.org/div/potus/tjefferson.html,http://millercenter.org/images/entry/large/18d1dce483b513ae0448308f1c6174f6.jpg,Thomas Jefferson,Virginia,1801-1809,Aaron Burr,Spoke 6 different languages
4,http://www.ipl.org/div/potus/jmadison.html,http://millercenter.org/images/entry/large/041a22a031b1f75302a4376602b60d14.jpg,James Madison,Virginia,1809-1817,George Clinton Elbridge Gerry,"Smallest President at 5' 4"", under 100 lbs."
5,http://www.ipl.org/div/potus/jmonroe.html,http://millercenter.org/images/entry/large/e386770f8de3379bffc2aa1b70d50539.jpg,James Monroe,Virginia,1817-1825,Daniel D. Tompkins,"Died on the 4th of July, 1831, following both John Adams and Thomas Jefferson, who died on July 4, 1826"
6,http://www.ipl.org/div/potus/jqadams.html,http://millercenter.org/images/entry/large/70b6cb3ac36bddb305f3ab7a6df615c1.jpg,John Quincy Adams,Mass.,1825-1829,John C. Calhoun,Son of John Adams
7,http://www.ipl.org/div/potus/ajackson.html,http://millercenter.org/images/entry/large/29c8f0d7fd892b17a63f931e952fb50f.jpg,Andrew Jackson,South Carolina,1829-1837,John C. Calhoun & Martin Van Buren,First President to ride in a train
8,http://www.ipl.org/div/potus/mvanburen.html,http://millercenter.org/images/entry/large/bd34782b8dd8cab105d752dad9eee16e.jpg,Martin Van Buren,New York,1837-1841,Richard M. Johnson,First President born an American citizen - (all before him were born in the British colonies)
9,http://www.ipl.org/div/potus/whharrison.html,http://millercenter.org/images/entry/large/4d3cf248b043371d09c690b470923d63.jpg,William Henry Harrison,Virginia,1841,John Tyler,"President for only 31 days, died of pnueumonia"
10,http://www.ipl.org/div/potus/jtyler.html,http://millercenter.org/images/entry/large/99396aa9615c4540286a09cc14cae200.jpg,John Tyler,Virginia,1841-1845,-----,"Loved kids, had 15 children"
11,http://www.ipl.org/div/potus/jkpolk.html,http://millercenter.org/images/entry/large/7db2d3cd32960ebad0a500d7921577b6.jpg,James K. Polk,North Carolina,1845-1849,George M. Dallas,First President to serve a nation from coast to coast
12,http://www.ipl.org/div/potus/ztaylor.html,http://millercenter.org/images/entry/large/fa4867f5fa591b1d575c852f06b06a67.jpg,Zachary Taylor,Virginia,1849-1850,Millard Fillmore,Never voted for a President
13,http://www.ipl.org/div/potus/mfillmore.html,http://millercenter.org/images/entry/large/061f67b0084f340b7b3e0729d5a2be42.jpg,Millard Fillmore,New York,1850-1853,-----,First President to have a stove and running water in the White House
14,http://www.ipl.org/div/potus/fpierce.html,http://millercenter.org/images/entry/large/1606ce7d05e28487de7d40c61091ea72.jpg,Franklin Pierce,New Hampshire,1853-1857,William R. King,"Memorized his entire inaugural speech - 3,319 words"
15,http://www.ipl.org/div/potus/jbuchanan.html,http://millercenter.org/images/entry/large/39a66e27c90219ef4632d41b7a63d545.jpg,James Buchanan,Pennsylvania,1857-1861,John C. Breckinridge,"Never married, his niece was White House hostess"
